倉庫ID,業務区分ID,商品ID,month_code,合計出荷数
8,7,62000018,2412,51
8,7,62000018,2501,48
8,7,62000018,2502,44
8,7,62000018,2503,50
8,7,62000018,2504,57
8,7,62000018,2505,53
8,7,62000018,2506,65
8,7,62000018,2507,73
8,7,62000018,2508,66
8,7,62000018,2509,27
8,7,62000019,2401,23
8,7,62000019,2402,36
8,7,62000019,2403,45
8,7,62000019,2404,43
8,7,62000019,2405,59
8,7,62000019,2406,41
8,7,62000019,2407,52
8,7,62000019,2408,41
8,7,62000019,2409,35
8,7,62000019,2410,43
8,7,62000019,2411,38
8,7,62000019,2412,45
8,7,62000019,2501,44
8,7,62000019,2502,29
8,7,62000019,2503,41
8,7,62000019,2504,46
8,7,62000019,2505,57
8,7,62000019,2506,48
8,7,62000019,2507,40
8,7,62000019,2508,56
8,7,62000019,2509,20
8,7,62000020,2401,6
8,7,62000020,2402,13
8,7,62000020,2403,16
8,7,62000020,2404,9
8,7,62000020,2405,5
8,7,62000020,2406,9
8,7,62000020,2407,8
8,7,62000020,2408,4
8,7,62000020,2409,4
8,7,62000020,2410,8
8,7,62000020,2411,8
8,7,62000020,2412,11
8,7,62000020,2501,9
8,7,62000020,2502,14
8,7,62000020,2503,15
8,7,62000020,2504,15
8,7,62000020,2505,17
8,7,62000020,2506,17
8,7,62000020,2507,17
8,7,62000020,2508,15
8,7,62000020,2509,8
8,7,62000021,2401,13
8,7,62000021,2402,17
8,7,62000021,2403,24
8,7,62000021,2404,18
8,7,62000021,2405,25
8,7,62000021,2406,19
8,7,62000021,2407,30
8,7,62000021,2408,28
8,7,62000021,2409,32
8,7,62000021,2410,40
8,7,62000021,2411,31
8,7,62000021,2412,42
8,7,62000021,2501,36
8,7,62000021,2502,29
8,7,62000021,2503,33
8,7,62000021,2504,40
8,7,62000021,2505,45
8,7,62000021,2506,32
8,7,62000021,2507,35
8,7,62000021,2508,34
8,7,62000021,2509,21
8,7,62000022,2401,11
8,7,62000022,2402,14
8,7,62000022,2403,25
8,7,62000022,2404,26
8,7,62000022,2405,20
8,7,62000022,2406,19
8,7,62000022,2407,29
8,7,62000022,2408,26
8,7,62000022,2409,25
8,7,62000022,2410,32
8,7,62000022,2411,24
8,7,62000022,2412,25
8,7,62000022,2501,17
8,7,62000022,2502,24
8,7,62000022,2503,12
8,7,62000022,2504,20
8,7,62000022,2505,30
8,7,62000022,2506,26
8,7,62000022,2507,29
8,7,62000022,2508,40
8,7,62000022,2509,14
8,7,62000023,2401,72
8,7,62000023,2402,53
8,7,62000023,2403,93
8,7,62000023,2404,79
8,7,62000023,2405,71
8,7,62000023,2406,73
8,7,62000023,2407,99
8,7,62000023,2408,108
8,7,62000023,2409,115
8,7,62000023,2410,122
8,7,62000023,2411,125
8,7,62000023,2412,139
8,7,62000023,2501,119
8,7,62000023,2502,113
8,7,62000023,2503,135
8,7,62000023,2504,139
8,7,62000023,2505,145
8,7,62000023,2506,148
8,7,62000023,2507,166
8,7,62000023,2508,152
8,7,62000023,2509,79
8,7,62000024,2401,135
8,7,62000024,2402,170
8,7,62000024,2403,221
8,7,62000024,2404,238
8,7,62000024,2405,272
8,7,62000024,2406,267
8,7,62000024,2407,265
8,7,62000024,2408,280
8,7,62000024,2409,215
8,7,62000024,2410,280
8,7,62000024,2411,260
8,7,62000024,2412,318
8,7,62000024,2501,259
8,7,62000024,2502,224
8,7,62000024,2503,259
8,7,62000024,2504,293
8,7,62000024,2505,310
8,7,62000024,2506,268
8,7,62000024,2507,293
8,7,62000024,2508,286
8,7,62000024,2509,146
8,7,62000025,2401,28
8,7,62000025,2402,40
8,7,62000025,2403,37
8,7,62000025,2404,57
8,7,62000025,2405,55
8,7,62000025,2406,41
8,7,62000025,2407,57
8,7,62000025,2408,52
8,7,62000025,2409,54
8,7,62000025,2410,40
8,7,62000025,2411,49
8,7,62000025,2412,49
8,7,62000025,2501,55
8,7,62000025,2502,42
8,7,62000025,2503,46
8,7,62000025,2504,54
8,7,62000025,2505,55
8,7,62000025,2506,78
8,7,62000025,2507,73
8,7,62000025,2508,80
8,7,62000025,2509,35
8,7,62000026,2401,18
8,7,62000026,2402,14
8,7,62000026,2403,26
8,7,62000026,2404,27
8,7,62000026,2405,28
8,7,62000026,2406,27
8,7,62000026,2407,18
